,City,Names,Bed,Area,Rating,location,petsallowed,pool,fitnessCenter,grill,closet,washerdryer,countertops,access,Rent
121,denton,716 Ticonderoga Dr,4.0,2073.0,3.0,"716 Ticonderoga Dr,
                Denton,
                
TX
76205",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2568.0
122,denton,2601 Stone Mantle Ln,5.0,2073.0,3.0,"2601 Stone Mantle Ln,
                Denton,
                
TX
76201",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3099.0
123,denton,3529 Camino Real Trail,3.0,1363.0,3.0,"3529 Camino Real Trail,
                Denton,
                
TX
76208",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2000.0
124,denton,3108 Union Lake Rd,4.0,2073.0,3.0,"3108 Union Lake Rd,
                Denton,
                
TX
76210",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2300.0
125,denton,2428 W Prairie St,1.0,481.0,3.0,"2428 W Prairie St,
                Denton,
                
TX
76201",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,730.0
126,denton,2217 Lookout Ln,3.0,1618.0,3.0,"2217 Lookout Ln,
                Denton,
                
TX
76207",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2000.0
127,denton,2221 Greystone Dr,3.0,1604.0,3.0,"2221 Greystone Dr,
                Denton,
                
TX
76207",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2300.0
128,denton,4701 Beaver Creek Ave,4.0,2073.0,3.0,"4701 Beaver Creek Ave,
                Denton,
                
TX
76207",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2429.0
129,denton,1000 S Ave B,3.0,1032.0,3.0,"1000 S Ave B,
                Denton,
                
TX
76201",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1650.0
130,denton,4525 Teasley Ln,4.0,2073.0,3.0,"4525 Teasley Ln,
                Denton,
                
TX
76210",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2495.0
131,denton,2324 Northway,3.0,1618.0,3.0,"2324 Northway,
                Denton,
                
TX
76207",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1995.0
132,denton,6287 Pockrus Page Rd,1.0,600.0,3.0,"6287 Pockrus Page Rd,
                Denton,
                
TX
76208",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1195.0
133,denton,5408 Del Rey Dr,4.0,1816.0,3.0,"5408 Del Rey Dr,
                Denton,
                
TX
76208",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1950.0
134,denton,1908 Tawny Dr,4.0,1736.0,3.0,"1908 Tawny Dr,
                Denton,
                
TX
76205",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2400.0
135,denton,5409 Pagewood Dr,4.0,1856.0,3.0,"5409 Pagewood Dr,
                Denton,
                
TX
76207",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2495.0
136,denton,2309 Vanderbilt Ct,3.0,1546.0,3.0,"2309 Vanderbilt Ct,
                Denton,
                
TX
76201",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1595.0
137,denton,2521 Champlain Ln,4.0,1716.0,3.0,"2521 Champlain Ln,
                Denton,
                
TX
76210",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3800.0
138,denton,3520 Brentwood Dr,2.0,1500.0,3.0,"3520 Brentwood Dr,
                Denton,
                
TX
76207",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2280.0
